Student Name,Student ID,Major
Teresa Green,SID1127,Medicine
Peter Peters,SID1128,Philosophy
Travis White,SID1129,Biology
Wendy Mann,SID1130,History
Heather Harris,SID1131,History
Kenneth Myers,SID1132,Computer Science
Amy Hudson,SID1133,Psychology
Brenda Wright,SID1134,Literature
Emily Reyes,SID1135,Psychology
Tyrone Hamilton,SID1136,Mathematics
Julia Henderson,SID1137,Engineering
Ashley Gilmore,SID1138,Physics
Gary Davidson,SID1139,Medicine
Mary Bond,SID1140,Literature
Alexis Harris,SID1141,Economics
Todd Gross,SID1142,Biology
Jason Patel,SID1143,Psychology
Aaron Watson,SID1144,Computer Science
Melanie Hernandez,SID1145,Physics
Jerry Reese,SID1146,Physics
Scott Nash,SID1147,Medicine
John Bennett,SID1148,Philosophy
Allen Fowler,SID1149,Philosophy
James Caldwell,SID1150,Art
Teresa Young,SID1151,Psychology
David Lucas,SID1152,Medicine
Elizabeth King,SID1153,Psychology
William Davis,SID1154,Psychology
William Mcgee,SID1155,Psychology
Lori Vasquez,SID1156,Art
Christopher Williams,SID1157,History
Erin Lucero,SID1158,Engineering
Richard Little,SID1159,Biology
Michael Anderson,SID1160,Philosophy
Amanda Garcia,SID1161,Physics
Douglas Frank,SID1162,Engineering
Joshua Thompson,SID1163,Psychology
Latoya Smith,SID1164,Literature
Mark Wood,SID1165,Psychology
Melinda Lynch,SID1166,Physics
Randy Reyes,SID1167,Biology
Rachel Harper,SID1168,Philosophy
Andrew Conley,SID1169,Philosophy
Jessica Jones,SID1170,Engineering
Angela Leonard,SID1171,Art
James Kirby,SID1172,Medicine
Frances Fernandez,SID1173,Physics
Diana Gardner,SID1174,Medicine
Philip Clements,SID1175,Physics
Jeremiah Roman,SID1176,Mathematics
Alyssa Pearson,SID1177,Physics
Eric Cannon,SID1178,Mathematics
Reginald Peterson,SID1179,Philosophy
Bill Franco,SID1180,Psychology
Deborah Irwin,SID1181,Medicine
Charles Coleman,SID1182,Art
Shannon Freeman,SID1183,Psychology
Brian Huff,SID1184,Economics
Brett Santos,SID1185,Medicine
Rodney Franco,SID1186,Computer Science
Diana Thomas,SID1187,Psychology
Cheryl Lee,SID1188,Economics
Billy Flores,SID1189,Literature
Heather Holden,SID1190,Biology
Melissa Lawson,SID1191,Physics
Kathleen Howard,SID1192,Engineering
Kevin Coleman,SID1193,Philosophy
Robin Johnson,SID1194,Biology
Allen Stokes,SID1195,Psychology
James White,SID1196,Computer Science
Brian Summers,SID1197,Economics
Brian Mcclure,SID1198,Engineering
Amber Campos MD,SID1199,Economics
Cynthia Anthony,SID1200,Psychology
Brent Hardy,SID1201,History
Alicia Franco,SID1202,Psychology
Daniel Clark,SID1203,Literature
Timothy Buckley,SID1204,Physics
Jacqueline Hamilton,SID1205,Art
Desiree Webb,SID1206,Computer Science
Deborah Frazier,SID1207,Computer Science
Andrea Holden,SID1208,Philosophy
Mason Douglas,SID1209,Engineering
Melissa Chen,SID1210,Engineering
Susan Harding,SID1211,Psychology
Joseph Fuller,SID1212,History
Richard Thornton,SID1213,Art
Kristi Wright,SID1214,Philosophy
Natalie Howe,SID1215,Mathematics
Sean Moore,SID1216,Psychology
Scott West,SID1217,Engineering
Tanya Lewis,SID1218,History
William Holland,SID1219,Philosophy
Daniel Anderson,SID1220,Literature
Tina Bryant,SID1221,Engineering
Thomas Gonzales,SID1222,Computer Science
Melissa Reese,SID1223,Medicine
Elizabeth Knight,SID1224,Economics
Kristen Dorsey,SID1225,Biology
Andrew Cline,SID1226,Engineering
Glen Haley,SID1227,Mathematics
Samuel Anderson,SID1228,Philosophy
Joseph Smith,SID1229,Psychology
Tony Johnson,SID1230,Engineering
Andrew Garner,SID1231,Medicine
Gary Oconnor,SID1232,Art
Ariel Crawford,SID1233,Computer Science
Wendy Solis,SID1234,Medicine
Sarah Figueroa,SID1235,Art
Troy Moreno,SID1236,Engineering
Thomas Potter,SID1237,Economics
Sarah Hendrix,SID1238,Medicine
Phillip Anderson,SID1239,Mathematics
Rebecca Valdez,SID1240,Literature
Omar West,SID1241,Physics
Amy Duffy,SID1242,Biology
Carolyn Cortez,SID1243,Psychology
Carl Green,SID1244,Mathematics
Lori Curtis,SID1245,Philosophy
Gregory Johnson,SID1246,Computer Science
Stephanie Day,SID1247,Literature
Richard Fleming,SID1248,Medicine
Olivia Richards,SID1249,History
Zoe Smith,SID1250,Art
Paula Robles,SID1251,Mathematics
Chelsea Delgado,SID1252,Computer Science
Donald Colon Jr.,SID1253,Psychology
Courtney Terry,SID1254,Medicine
Bryan Gonzalez,SID1255,Mathematics
Teresa Foster,SID1256,Physics
Elizabeth Hanson,SID1257,Mathematics
Heather Bush,SID1258,Medicine
Faith Lee,SID1259,Mathematics
Abigail Lester,SID1260,History
Paul Valdez,SID1261,History
Christina Pierce,SID1262,Art
Christopher Williams,SID1263,History
Stephanie Duran DDS,SID1264,Engineering
Charles Ward,SID1265,Art
Kristy Taylor,SID1266,Literature
Joel Harris,SID1267,Literature
Mr. Jesse Estrada,SID1268,Medicine
Kelly Dean,SID1269,Biology
Tiffany Matthews,SID1270,Psychology
Maria Kane,SID1271,Engineering
Corey Chandler Jr.,SID1272,History
David Steele,SID1273,Art
Robert Ryan,SID1274,Philosophy
Steve Mcknight,SID1275,Economics
David Gilbert,SID1276,Biology
Madison Ruiz,SID1277,Philosophy
Joseph Gilbert,SID1278,Medicine
Mark Pierce,SID1279,Biology
Shawn Brown,SID1280,Art
Matthew Graham,SID1281,Philosophy
Mark Glover,SID1282,Philosophy
Monique Castro,SID1283,Computer Science
Kimberly Montes,SID1284,Art
Christine Coleman,SID1285,Economics
Jaime Gonzalez,SID1286,Psychology
Nicole Rivera MD,SID1287,Philosophy
Lynn Young,SID1288,Art
Michael Green,SID1289,Computer Science
Phillip Sanders,SID1290,Art
Lori Powers,SID1291,Medicine
Ashlee Torres,SID1292,Engineering
Emily Shelton,SID1293,Literature
Anthony Reyes,SID1294,Art
Jeremy Woodard,SID1295,Medicine
Jeffrey Martinez,SID1296,Philosophy
Thomas Graham,SID1297,Physics
Robert Hinton,SID1298,Philosophy
Trevor Wilson,SID1299,Medicine
Laura Griffith,SID1300,Literature
Jessica Ellis,SID1301,Mathematics
Sheila Rodriguez,SID1302,Psychology
Erin Baird,SID1303,Physics
Sergio Chen,SID1304,Art
Amy Brown,SID1305,Computer Science
Mathew Williams,SID1306,Biology
John Reeves,SID1307,Computer Science
Emily Fisher,SID1308,Art
Rebecca Jones,SID1309,Engineering
John Robinson,SID1310,Biology
Dr. David Jones DDS,SID1311,Computer Science
Alyssa Jacobs,SID1312,Computer Science
Gregory Walters,SID1313,History
Cameron Smith,SID1314,Psychology
Courtney Hanna,SID1315,Economics
Jason Cox,SID1316,Engineering
Kenneth Watson,SID1317,Computer Science
Randall Daniels,SID1318,Medicine
Sally Hicks,SID1319,Computer Science
Anita Paul,SID1320,Mathematics
Samuel Sandoval,SID1321,Medicine
Shawn Ashley,SID1322,Computer Science
Lisa Weaver,SID1323,Physics
Stephen Pena,SID1324,Literature
James Green,SID1325,Literature
Todd Kline,SID1326,Engineering
Nathan Williams,SID1327,Computer Science
Karen Jackson,SID1328,Art
Dawn Washington,SID1329,Philosophy
Nicholas Horne,SID1330,Art
Courtney Barnett,SID1331,Medicine
Laura Johnson,SID1332,Mathematics
Scott Thompson,SID1333,Medicine
Lauren Welch,SID1334,Biology
Alyssa Armstrong,SID1335,Biology
Madeline Alvarez,SID1336,Biology
Cynthia Hoover,SID1337,Mathematics
Sheila Rodriguez,SID1338,Computer Science
Jennifer Cooper,SID1339,Mathematics
Amy Buckley,SID1340,Art
Suzanne Hull,SID1341,Philosophy
Timothy Castillo,SID1342,Engineering
Adam Robbins,SID1343,Biology
Gary May,SID1344,Physics
Bruce Daugherty,SID1345,History
Scott Myers,SID1346,Engineering
April Wade,SID1347,Art
Kaitlyn Hodge,SID1348,Mathematics
Charles Hickman,SID1349,Economics
Megan Kramer,SID1350,Psychology
Michelle Mata,SID1351,Engineering
Brenda Hamilton,SID1352,Literature
Jodi Salas,SID1353,Engineering
Dawn Herrera,SID1354,Physics
Tracey Malone,SID1355,Physics
Amanda Jenkins,SID1356,Literature
Julia Murray,SID1357,Computer Science
Catherine Oneal,SID1358,Art
Brenda Mitchell,SID1359,Economics
Crystal Zimmerman,SID1360,Computer Science
Elizabeth Wiggins,SID1361,Engineering
Lisa Stephens,SID1362,Biology
Miss Ashley Weaver,SID1363,Philosophy
Theresa Conner,SID1364,Computer Science
John Parker,SID1365,Psychology
Robin Cruz,SID1366,Economics
Kathryn Hopkins,SID1367,Engineering
Bryan Curtis,SID1368,Mathematics
Priscilla Moody MD,SID1369,Medicine
Matthew Mcfarland,SID1370,Biology
Sandra Burke,SID1371,Art
Kathleen Higgins,SID1372,Art
Jennifer Sherman,SID1373,Psychology
Ashley West,SID1374,Computer Science
Mark Oneill,SID1375,Literature
Melissa Anderson,SID1376,Literature
Barbara Chan,SID1377,Psychology
Susan Williams MD,SID1378,Philosophy
Chad Lewis,SID1379,Art
Julie Dunn,SID1380,Art
Amanda Burns,SID1381,Physics
Robert Pollard,SID1382,Mathematics
Gary Haynes,SID1383,Mathematics
Marcia Weber,SID1384,Computer Science
Kimberly Rosales,SID1385,History
Lisa Crawford,SID1386,Physics
Janet Taylor,SID1387,Philosophy
Dustin Odom,SID1388,Psychology
Jorge Jordan,SID1389,Art
Laura Haas,SID1390,Mathematics
David Clarke,SID1391,Economics
Mark Carson,SID1392,Medicine
Tommy Richards,SID1393,Literature
Lauren Ford,SID1394,Computer Science
Madison Smith,SID1395,History
Dr. Whitney Simmons,SID1396,Mathematics
Robert Miranda,SID1397,Economics
Michael Moore,SID1398,Mathematics
Stephanie Williams,SID1399,History
Deanna Benton,SID1400,Physics
Craig Anderson,SID1401,Mathematics
Jeffrey Castillo,SID1402,Philosophy
Michelle Morrison,SID1403,Literature
Tyler Jones,SID1404,Mathematics
Michael Forbes,SID1405,Computer Science
Daniel Barrett,SID1406,Psychology
Derek James,SID1407,Psychology
Maria Brooks,SID1408,Art
Leon Johnson,SID1409,Art
Courtney Hill,SID1410,Biology
Amanda Knight,SID1411,Biology
James Dodson,SID1412,Art
Alexander Santiago,SID1413,Mathematics
Heidi Espinoza,SID1414,Engineering
Emily Mcguire,SID1415,Biology
Cody Green,SID1416,Physics
Meredith Stevens,SID1417,Engineering
Brittany Jones,SID1418,Art
Matthew Lewis,SID1419,Computer Science
Andrew George,SID1420,Biology
Kelly Taylor,SID1421,Psychology
Jennifer Lynch,SID1422,Philosophy
Mark Jones,SID1423,Computer Science
Richard Booth,SID1424,Mathematics
Brian Ramirez,SID1425,Biology
Diana Navarro,SID1426,Medicine
Travis Thomas,SID1427,Medicine
Brianna Foster,SID1428,Computer Science
Sandra Allen,SID1429,History
James Long,SID1430,Literature
Philip Melendez,SID1431,Philosophy
Andrew Mcdonald,SID1432,Literature
Brian Williams,SID1433,Philosophy
Brooke Taylor,SID1434,Computer Science
Kristopher Logan,SID1435,Physics
Diana Stephens,SID1436,Mathematics
Ryan Perez,SID1437,Physics
Mr. Joel Sullivan,SID1438,Mathematics
Victoria Sandoval,SID1439,Mathematics
Kimberly Roberts,SID1440,Psychology
Brandy Singleton,SID1441,Literature
Lori Sellers,SID1442,Biology
Amy Carlson,SID1443,Art
Brandon Conner,SID1444,Philosophy
Dana Nelson,SID1445,Philosophy
Renee Sandoval,SID1446,Psychology
Timothy Patterson,SID1447,Philosophy
Nathan Miles,SID1448,Computer Science
Linda Miller,SID1449,Mathematics
John Rosales,SID1450,Physics
Danielle Mills,SID1451,Philosophy
Tracy Williams,SID1452,Medicine
Ann Cooley,SID1453,Art
Rebecca Lambert,SID1454,Philosophy
Laura Santos,SID1455,Computer Science
Walter Thompson,SID1456,Physics
Tony Harrison,SID1457,Economics
Diana Morales,SID1458,Art
Alexandra Li,SID1459,Psychology
Jeremy Schmidt,SID1460,Psychology
Cheryl White,SID1461,Art
Rachel Banks,SID1462,History
Susan Kelly,SID1463,Computer Science
Jessica Chandler,SID1464,Computer Science
Douglas Goodwin DVM,SID1465,Computer Science
David Bradford,SID1466,History
Anthony Pena,SID1467,Engineering
Ellen Davis,SID1468,Biology
Andrew Hunter,SID1469,Mathematics
Jason Shea,SID1470,Philosophy
Whitney Jacobson,SID1471,Medicine
Shawn Miller,SID1472,Economics
Joseph Brooks,SID1473,Physics
Taylor Barnett,SID1474,Art
Lisa Miller,SID1475,Mathematics
Kelsey Robinson,SID1476,Economics
Kim Miller,SID1477,Philosophy
Christina Burke,SID1478,Medicine
Ashley Foster,SID1479,Mathematics
Tami Franco,SID1480,Computer Science
Jason Walker,SID1481,Philosophy
Shannon Mitchell,SID1482,Art
Kevin Underwood,SID1483,Engineering
Amanda Perez,SID1484,Biology
Emily Ingram,SID1485,History
Mark Jones,SID1486,Psychology
Robert Nicholson,SID1487,Mathematics
Dominique Jones,SID1488,Biology
Joel Rogers,SID1489,Art
Sabrina Henderson,SID1490,History
Courtney Wilson,SID1491,Mathematics
Kimberly Brown,SID1492,Psychology
Keith Rogers,SID1493,Economics
Angel Cain,SID1494,Computer Science
Holly Allen,SID1495,Art
Michael Butler,SID1496,Economics
James Cruz,SID1497,History
Erika Cross,SID1498,Literature
Johnathan Henson,SID1499,Literature
Alexis Lee,SID1500,Biology
Kimberly Munoz,SID1501,Literature
Crystal Wilson,SID1502,Psychology
David Hanson,SID1503,Medicine
Brittany Colon,SID1504,Computer Science
Toni Ramos,SID1505,Medicine
Miranda Matthews,SID1506,Art
Joshua Smith,SID1507,Engineering
Cindy Larson,SID1508,Medicine
Todd Hogan,SID1509,History
Daniel Rodriguez,SID1510,Medicine
Stephanie Hughes,SID1511,Psychology
Justin Payne,SID1512,Economics
Jerome Schneider,SID1513,Medicine
Kyle Mitchell,SID1514,Psychology
Shannon Stark,SID1515,Literature
Tracy Hendricks,SID1516,Economics
Nicole Dunn,SID1517,Biology
Kenneth Marquez,SID1518,Art
Matthew Taylor,SID1519,Literature
Erin Lawson,SID1520,Biology
Alex Flynn,SID1521,Engineering
Hector Vaughn,SID1522,Economics
Greg Miller,SID1523,Biology
Jamie Keller,SID1524,History
Valerie Martinez,SID1525,Art
Tiffany Watts,SID1526,Engineering
Lauren Thomas,SID1527,History
Donna Smith DDS,SID1528,Biology
Jeremy Ward,SID1529,Physics
Nathan Owens,SID1530,Philosophy
Amanda James,SID1531,Art
Christopher Romero,SID1532,Computer Science
Lindsay Stewart,SID1533,Philosophy
Todd Wood,SID1534,Economics
Courtney Simpson,SID1535,Literature
Mark Simpson,SID1536,Engineering
Jeremy Greer,SID1537,Psychology
John Jones,SID1538,History
Stephanie Wilkinson,SID1539,Engineering
Michael Morris,SID1540,Art
Timothy Brown,SID1541,Economics
Lance Johnston,SID1542,Literature
Susan Kane,SID1543,Physics
Fernando Martin,SID1544,Engineering
Jessica Green,SID1545,Medicine
Carolyn Gomez,SID1546,Engineering
Nicholas Bates,SID1547,Physics
Mrs. Amanda Bird,SID1548,Medicine
Maria Ryan,SID1549,Computer Science
Jesse Benton,SID1550,Computer Science
Stephanie Rice,SID1551,Physics
Mitchell Davis,SID1552,Philosophy
Ronald Perez,SID1553,Philosophy
Courtney Kirby,SID1554,History
Ashley Clark,SID1555,Computer Science
Monica Lee,SID1556,Economics
Mallory Webb,SID1557,Medicine
Cheryl Campbell,SID1558,Art
Robert Mills,SID1559,Physics
Travis Petersen,SID1560,Art
Danielle Taylor,SID1561,Physics
Curtis Kemp,SID1562,Philosophy
Mary Pineda,SID1563,Philosophy
Edwin Leon,SID1564,Literature
Kevin Williams,SID1565,Mathematics
Jennifer Joseph,SID1566,Psychology
Lisa Perez,SID1567,Philosophy
Curtis Phelps,SID1568,Engineering
Kristin Padilla,SID1569,Economics
Drew Bell,SID1570,Biology
David Davis,SID1571,Computer Science
Donald Douglas,SID1572,Biology
Michele Watson,SID1573,Engineering
Stacy Cross,SID1574,History
Scott Garcia,SID1575,Computer Science
Dr. Jeremy Reynolds,SID1576,Mathematics
Austin Rogers,SID1577,Philosophy
Kathryn Phillips,SID1578,Literature
Richard Ball,SID1579,Psychology
Angie Hernandez,SID1580,Economics
Stephanie Dunlap,SID1581,Engineering
Jenna Gillespie,SID1582,Engineering
Jessica Shaw,SID1583,Philosophy
Jessica Santos,SID1584,Physics
Ryan Anderson,SID1585,Medicine
Brittney Hunter,SID1586,Mathematics
Michael Hansen,SID1587,History
Jessica Donovan,SID1588,Physics
Jeffrey Bowen,SID1589,Psychology
David Gonzalez,SID1590,Philosophy
Jon Wallace,SID1591,History
Hunter Moore,SID1592,Economics
Brian Russell,SID1593,Philosophy
Michael Combs,SID1594,Medicine
Christine Thompson,SID1595,History
Matthew Henderson,SID1596,Mathematics
Chad Porter,SID1597,Literature
Timothy Dixon,SID1598,Engineering
Kevin Lara,SID1599,Psychology
Norma Moore,SID1600,Philosophy
Jeffrey Zhang,SID1601,Psychology
Joseph Mills,SID1602,Psychology
Diana King,SID1603,Art
Michael Rogers,SID1604,Psychology
Jonathan Simmons,SID1605,Literature
Beth Wiggins,SID1606,Physics
Shannon Sanchez,SID1607,Economics
Tammy Williams,SID1608,Psychology
David Solis,SID1609,Computer Science
Marie Miller,SID1610,Computer Science
Monica Rios,SID1611,History
Michael Taylor,SID1612,Mathematics
Karen Farmer,SID1613,Computer Science
Joseph Gomez,SID1614,Biology
Pamela Wright,SID1615,Medicine
Warren Olson,SID1616,Medicine
Jordan Green,SID1617,Computer Science
Matthew Ortiz,SID1618,Medicine
Megan Mejia,SID1619,Philosophy
Justin Coleman,SID1620,Art
Kenneth White,SID1621,History
Karen Garcia,SID1622,Art
Lisa Underwood,SID1623,Biology
Christine Bradford,SID1624,Engineering
Dana Combs,SID1625,Mathematics
Amanda Williams,SID1626,Medicine
Chloe Williams,SID1627,Engineering
Kristen Horton,SID1628,Computer Science
Mariah Austin,SID1629,Psychology
Joseph Olson,SID1630,History
Robert Evans,SID1631,Psychology
Patrick Cuevas,SID1632,Art
Jon Cooper,SID1633,Physics
Jeffrey Chavez,SID1634,Psychology
Kara Fisher,SID1635,History
Jacob Smith,SID1636,Economics
Katie Mosley,SID1637,Physics
Erin Kirk,SID1638,History
Michael Gray,SID1639,Engineering
Melanie Ball,SID1640,Physics
John Moore,SID1641,Philosophy
Barry Martin,SID1642,Art
Elaine House,SID1643,Biology
Richard Benton,SID1644,Mathematics
Timothy Moore,SID1645,Computer Science
Amanda James,SID1646,Psychology
Steve Jenkins,SID1647,Mathematics
Grace Ponce,SID1648,Psychology
Robert Byrd,SID1649,Philosophy
Dawn Stark,SID1650,Medicine
Michele Powell,SID1651,Medicine
Michael Wilkerson,SID1652,Physics
Shannon Hanson,SID1653,Physics
Brandi Lowe,SID1654,Computer Science
Mike Jones,SID1655,Art
Maria Snyder,SID1656,Biology
Nicholas Curry,SID1657,Philosophy
Mrs. Patricia Smith,SID1658,Mathematics
Pamela Fitzgerald,SID1659,History
Manuel Lamb,SID1660,Mathematics
Carol Campbell,SID1661,Art
Kenneth Hamilton,SID1662,Physics
Jamie Rios,SID1663,Engineering
Ryan Cowan,SID1664,Physics
Adam Waters,SID1665,Biology
Susan Gallagher,SID1666,Psychology
Edward Chambers,SID1667,Biology
Kaitlyn Holland,SID1668,Art
Kevin Black,SID1669,Psychology
Jessica Smith,SID1670,Economics
Vickie Atkins,SID1671,Literature
Dr. Jacob Martinez,SID1672,Physics
Kerri Craig,SID1673,Literature
Paige Boyer,SID1674,Psychology
Jessica Johnson,SID1675,Computer Science
Michael Brown,SID1676,History
Devin Hahn,SID1677,Medicine
Jeanette Elliott,SID1678,Psychology
Carolyn Paul,SID1679,Physics
Kevin Schneider,SID1680,Mathematics
Johnny Jackson,SID1681,Engineering
John Scott,SID1682,Engineering
Maria Madden,SID1683,History
David Hill,SID1684,Engineering
Tammy Klein,SID1685,Biology
Rachel Ramirez,SID1686,Mathematics
John Vargas,SID1687,Psychology
Robert Hall,SID1688,Engineering
Jose Farley,SID1689,Medicine
Mr. Jose Landry,SID1690,Medicine
Traci Perez,SID1691,Medicine
Ashley Armstrong,SID1692,Economics
Michelle Baker,SID1693,Mathematics
Ronald Neal,SID1694,Computer Science
Tanya Peterson,SID1695,Economics
Kristie Kennedy,SID1696,Medicine
Susan Benson,SID1697,History
Brandy Richard,SID1698,Medicine
Mario Olson,SID1699,Engineering
Jessica Hensley,SID1700,Biology
Paula Haney,SID1701,Computer Science
Alicia Mitchell,SID1702,Engineering
Savannah Williams,SID1703,Mathematics
Kellie Martinez,SID1704,Art
Ryan Flores,SID1705,Art
Michael Reyes,SID1706,Biology
Jonathan James,SID1707,Medicine
John Nguyen,SID1708,Mathematics
Jacob Thomas,SID1709,Art
Lisa Rocha,SID1710,Physics
Shawn Garcia,SID1711,Physics
Austin Washington,SID1712,Psychology
Amanda Walker,SID1713,Art
Charles Hubbard,SID1714,Medicine
Vanessa Watkins,SID1715,Philosophy
Lori Higgins,SID1716,Physics
Jennifer Duncan,SID1717,Biology
Jessica Trujillo,SID1718,Art
Ryan Martinez,SID1719,Economics
Adrian Ross,SID1720,Philosophy
Carrie Thomas DDS,SID1721,Philosophy
Gerald Melendez,SID1722,Computer Science
Traci Miller,SID1723,History
Jesse Stevens,SID1724,Art
Sandra Arellano,SID1725,History
Kaitlin Nelson,SID1726,Mathematics
Amber Johnson,SID1727,Engineering
James Medina,SID1728,Literature
Terry Huynh,SID1729,Literature
Lauren Jones,SID1730,Philosophy
David Gonzalez,SID1731,Computer Science
Emily Holmes,SID1732,Physics
Gary Jefferson,SID1733,Biology
Randy Hodges,SID1734,Psychology
Kenneth Spencer,SID1735,Psychology
Mark Brown,SID1736,Physics
Daniel Roberts,SID1737,History
Justin Clark,SID1738,Biology
Kenneth Bennett DDS,SID1739,Economics
Andrew Bell,SID1740,Biology
Jennifer Morrison,SID1741,Philosophy
David Bradley,SID1742,Art
Michael Lewis,SID1743,Medicine
Julia Garcia,SID1744,Mathematics
Karen Irwin,SID1745,Biology
Steven Mahoney,SID1746,History
Richard Gardner,SID1747,History
Stephanie Summers,SID1748,Engineering
Craig Cabrera,SID1749,Biology
Melissa Leach,SID1750,Art
Bailey Wall,SID1751,Physics
Robert Waller,SID1752,History
Brian Taylor,SID1753,Art
Kathleen Skinner,SID1754,Mathematics
Annette Lopez,SID1755,Philosophy
Cesar Rivera,SID1756,History
Ronald Cox,SID1757,Mathematics
James York,SID1758,Mathematics
Brandon Jackson,SID1759,Economics
Dennis Schmidt,SID1760,Economics
Samantha Mueller,SID1761,Economics
Lindsey Jenkins,SID1762,Psychology
Sara Brown,SID1763,Medicine
Stephanie Stone,SID1764,Psychology
Michael Watson,SID1765,Philosophy
Jack Baker,SID1766,Biology
Mary Serrano,SID1767,Philosophy
Robert Moore,SID1768,Biology
Christopher Fox,SID1769,Medicine
Richard Lozano,SID1770,Computer Science
Jordan Smith,SID1771,Physics
Kevin Quinn,SID1772,Engineering
Joseph Padilla,SID1773,Economics
Cindy Reyes,SID1774,Art
Alex Campos,SID1775,Literature
Charles Anderson,SID1776,Engineering
Jordan Cochran,SID1777,Medicine
Amy Villarreal,SID1778,Medicine
Lonnie Donovan,SID1779,Psychology
